id,name,address,longitude,latitude,district,brand_type,subway_count,bus_count,restaurant_count,competitor_count
B0FFI71O7E,星巴克(古象大酒店店),九江路595号古象大酒店,121.479475,31.234175,黄浦区,国际连锁,1,19,48,79
B0I33BP4IX,禧兴Liveliness coffee shop(培文公寓店),重庆南路12号乙,121.471302,31.221103,黄浦区,独立/精品,1,19,35,57
B0I0ARARUD,猫二玫瑰咖啡,皋兰路2号甲(复兴公园西门内),121.467624,31.217534,黄浦区,独立/精品,1,9,23,53
B0FFFKI26J,星巴克(东海店),延安东路588号东海商业中心1楼,121.47978,31.229921,黄浦区,国际连锁,1,20,43,57
B0FFKRO1KR,瑞幸咖啡(香港广场店),淮海中路282香港广场F3层,121.474887,31.222969,黄浦区,本土连锁,1,29,32,57
B0HDPUJP8U,内明谷Me Time Coffee(曲圆小区店),建国西路122号(近陕西南路),121.465003,31.207809,黄浦区,独立/精品,1,6,21,42
B0HGO9VFQ3,星巴克(新世界店),南京西路2-68号3F北中庭,121.473616,31.235348,黄浦区,国际连锁,1,13,41,60
B0H1UX05TI,Manner Coffee(淮海755店),淮海路755号淮海755 B1层,121.464359,31.218889,黄浦区,本土连锁,1,7,26,59
B00156ECEE,Costa Coffee(上海思南公馆店),复兴中路507弄5号1层103室,121.470069,31.215051,黄浦区,国际连锁,0,6,19,30
B0FFG0Z4RZ,Costa Coffee(上海华美达店),南京东路719号南新雅大酒店1层(近贵州路),121.476796,31.23455,黄浦区,国际连锁,1,17,33,69
B0FFKNVL25,星巴克臻选世茂广场店,南京东路829号G05商铺,121.4856,31.238396,黄浦区,国际连锁,1,22,46,52
B00155H8SM,星巴克(人民公园店),南京西路189号(近人民广场9号出口),121.470875,31.231675,黄浦区,国际连锁,1,16,33,46
B00156E0Q8,星巴克(上海南京东路时装公司店),南京东路635号永安百货一楼,121.47861,31.234691,黄浦区,国际连锁,1,21,40,72
B0J2H9I48E,naive理想国coffee•bar,外滩街道洛克外滩源虎丘路78号洛克·安仁大楼-naive理想国,121.487643,31.242031,黄浦区,独立/精品,0,13,55,39
B0H69SI5XW,BLACKSHEEP ESPRESSO,茂名南路124号(陕西南路地铁站4号口步行260米),121.461899,31.215375,黄浦区,独立/精品,1,8,34,67
B0HB2HX4P3,一尺花园(古城公园店),人民路317号古城公园丹凤楼(近古城1号门),121.49481,31.228673,黄浦区,独立/精品,0,19,40,29
B0I62AFP14,Punchline Coffee&Roaster(外滩店),福州路17号102室,121.490123,31.235479,黄浦区,独立/精品,0,19,66,17
B0KGSXJBAM,瑞幸咖啡(新世界大丸百货店),南京东路228号新世界新丸中心负一层B-32号,121.48516,31.237892,黄浦区,本土连锁,1,19,49,49
B0JUTAWJV5,Crave Bakery&Coffee,西藏中路88号(人民广场地铁站1号口步行270米),121.477875,31.229975,黄浦区,独立/精品,2,21,39,56
B0J6SS1MTC,PAOPAO Bakery&Cafe(新天地时尚店),马当路245号新天地时尚二期B1层B101-102,121.475327,31.216647,黄浦区,独立/精品,1,15,27,36
B0G116B8GJ,Peet's Coffee皮爷咖啡(新天地店),上海城区马当路119号1楼102单元,121.474327,31.220699,黄浦区,国际连锁,2,23,32,68
B0J0SLL0B1,瑞幸咖啡(外滩店),,121.493254,31.232153,黄浦区,本土连锁,0,18,46,17
B0KKH77Q1R,W Coffee SH The Beats(新天地店),马当路245号新天地时尚二期F1层,121.474964,31.21747,黄浦区,独立/精品,1,19,31,45
B0J0P9AQCJ,Peet's Coffee 皮爷咖啡(南京路步行街店),六合路69号第一百货商业中心B馆F1层,121.474325,31.235749,黄浦区,国际连锁,1,15,43,60
B0FFG74WSS,星巴克臻选(湖滨道店),湖滨路150号湖滨道购物中心1层L1-E05单元,121.479219,31.22074,黄浦区,国际连锁,1,20,26,42
B0FFIU6KTW,瑞幸咖啡(外滩SOHO店),中山东二路58号外滩SOHOD栋负一层41号,121.493484,31.230089,黄浦区,本土连锁,0,18,33,19
B0FFGT4ERK,星巴克臻选(思南公馆店),思南路50号,121.467543,31.215088,黄浦区,国际连锁,0,4,15,36
